Proteins,C1,C2,C3,C4,C5,Labels
A1Z9I9,0.017109564560601125,0.0021369212504946575,0.3872622812818824,5.0506543248191203e-05,6.732259905938358e+35,0
A1Z9J0,0.01732229815872603,0.0022160664819944596,0.3862604986683894,5.8169613737987025e-05,6.817978020987567e+35,0
A1Z9J1,0.017223853291308433,0.0022952117134942616,0.39129690797000016,7.521681203081129e-05,7.902600778847679e+35,0
A1Z9J2,0.017083051301935624,0.0019786307874950534,0.38187541862237706,2.333389450860276e-05,5.795197817820646e+35,0
A1Z9J3,0.00531804630923403,0.004036406806489909,0.39211143109233576,0.0005334231617043305,1.0342042559325123e+36,0
O77291,0.010893048763725561,0.0005540166204986149,0.37832380259823495,1.9107718854385098e-06,2.818932982187433e+35,0
O96936,0.01076204715263971,0.0003957261574990107,0.3765321221258773,1.8904516794374773e-07,2.51451555501296e+35,0
Q7KAJ2,0.01076204715263971,0.0003957261574990107,0.3765321221258773,1.8904516794374773e-07,2.51451555501296e+35,0
Q7KJN8,0.01076204715263971,0.0003957261574990107,0.3765321221258773,1.8904516794374773e-07,2.51451555501296e+35,0
Q7KJN9,0.01076204715263971,0.0003957261574990107,0.3765321221258773,1.8904516794374773e-07,2.51451555501296e+35,0
Q8MR19,0.01076204715263971,0.0003957261574990107,0.3765321221258773,1.8904516794374773e-07,2.51451555501296e+35,0
Q9U479,0.01076204715263971,0.0003957261574990107,0.3765321221258773,1.8904516794374773e-07,2.51451555501296e+35,0
O16797,0.00841378879749896,0.004907004352987732,0.3908846746037951,0.0007172606863861986,7.385134600159665e+35,1
Q24400,0.0010694882879490873,0.0031658092599920855,0.3817325501882861,0.00046165486663470555,4.324609064695441e+35,0
Q9W2Q7,0.008201770070745035,0.0015037593984962405,0.3773793048941062,0.00014718975525880568,2.8239675692532643e+35,0
Q9XYF4,0.006451503628554108,0.0016620498614958448,0.3789912881817958,0.0003714073280025488,3.9856231690311344e+35,0
Q9VH45,0.009361309298439825,0.0022160664819944596,0.38054612423587497,5.460285047321493e-05,4.337966028267584e+35,0
Q9VF05,0.010616064116445752,0.0018994855559952512,0.3810079520565496,9.253675315932043e-05,3.855310874428249e+35,0
P41094,0.005347650257335236,0.0018994855559952512,0.3810198085355306,0.00018712660506797987,4.2059156763648e+35,1
Q8SWX6,4.6503352300108227e-05,0.0008705975464978234,0.37763536832770794,3.465229337829267e-05,3.2704341924691105e+35,0
Q9VF68,0.008450633102578958,0.0004748713889988128,0.3770655194410346,1.0137394805489136e-06,2.660431672038879e+35,0
Q8IMT8,0.00477341322765057,0.001187178472497032,0.377961770251251,0.00024028283032296173,2.624246283887494e+35,0
Q9VBY7,0.008555693659523059,0.0009497427779976256,0.3775538559139462,4.590528147256114e-05,2.5975433072752605e+35,0
P49963,0.0060061318221938794,0.0003957261574990107,0.3759771401857544,1.1404264975362822e-07,2.3935569353551152e+35,0
Q9VSL0,0.006067886282031081,0.0003957261574990107,0.3769378304740719,7.210226485513728e-06,2.3349534924674714e+35,0
Q9VWA8,0.004167852721891075,0.0003165809259992085,0.3775072931889152,2.8160085145215563e-06,2.38091072456498e+35,0
Q9VZ03,0.008392261946986002,0.0002374356944994064,0.3755850167880146,1.8280687497230382e-08,2.316277724892872e+35,0
P05303,0.010950625425962106,0.0019786307874950534,0.380475173154634,1.730560314550283e-05,6.974601784040182e+35,0
Q9VR05,0.008499202002501711,0.004273842500989315,0.3874583572446845,0.0015152452217177751,4.380803538751214e+35,0
Q9U5W9,0.004849395483341253,0.0018994855559952512,0.3800146352355455,0.000112200349793327,3.2325263465571472e+35,0
O46094,0.005241268425532646,0.0009497427779976256,0.3823404804924205,3.12871636916779e-05,3.8714729915205994e+35,0
Q95R90,0.010772078889688723,0.0005540166204986149,0.3783471833412421,2.088002461834312e-06,3.0987063042104885e+35,0
Q9VJE7,0.009120479128977276,0.0015829046299960427,0.3793435433060469,0.00020305955518609155,3.1081182981082794e+35,0
Q9GYU8,0.006691331772862333,0.004115552037989711,0.3848642593603217,0.0003689382040419696,6.97085552874988e+35,0
Q9W1B2,0.006674962211755612,7.914523149980213e-05,0.3753432312709382,0.0,2.1113311754069404e+35,0
O76927,0.008827220248054954,0.00593589236248516,0.3837184351527555,0.001047916357972064,1.3374485033447747e+36,0
Q9VC43,0.012628888435756326,0.0007123070834982192,0.3766363636928013,1.030549372394363e-06,2.882482966033893e+35,0
Q9VXY0,0.0002831880236864027,0.001187178472497032,0.3809368286755421,0.00021134654671475957,3.623869248927731e+35,0
Q9VI60,0.005333252855882864,0.0015829046299960427,0.3787802489493976,0.00011405864071233899,3.395647095334153e+35,0
Q9VYF2,0.005492908730079806,0.0007914523149980214,0.3776004301267278,5.9471911352943775e-05,2.703796260894641e+35,0
Q9VQD0,0.01113289911815602,0.0007914523149980214,0.3774374706316053,1.2524302782735442e-06,2.8985366140132367e+35,0
Q95TC0,0.015259834881232729,0.0013454689354966362,0.3777518757069471,1.5028937424424091e-06,4.95912158003749e+35,0
Q9VQL1,0.014085236510619745,0.004194697269489513,0.383238021449475,1.404928722944122e-05,1.7121322448238143e+36,0
Q9U3V9,0.0068662256021543465,0.0015037593984962405,0.3780901540047331,7.877778135128797e-05,3.237419141217423e+35,0
Q24478,0.005975418934346767,0.006410763751483973,0.3906477218929036,0.001250346679673672,1.1037146447904992e+36,0
Q9VEA7,0.010139939996855616,0.00015829046299960426,0.3754353033234991,0.0,2.1650863756241696e+35,0
Q9VRT7,0.005322879213375372,0.0007914523149980214,0.3761619522976736,3.5104360890470416e-05,2.5487572253307523e+35,0
Q9VIQ5,0.011242406620067464,0.0014246141669964384,0.3763932230952744,4.448645257468582e-07,3.66124025884434e+35,0
Q9W0G6,0.007478626533916306,0.0016620498614958448,0.3780317869427669,2.685669088819024e-05,3.4507447670767405e+35,0
A1Z7N4,0.011354857686127533,0.0003957261574990107,0.3796140493361839,1.6012244017988987e-06,2.770208627683063e+35,0
Q8MZH6,0.011285479840793092,0.0003165809259992085,0.3760348744599145,4.260909674409581e-08,2.4155549483768573e+35,0
Q9VCI3,0.005235361725680971,0.00015829046299960426,0.37600023176788105,0.0,2.475382278107295e+35,0
P02572,0.009045894010298598,0.006806489908982983,0.3850336964556376,0.0005747151694602577,1.0582838570705238e+36,0
P45888,0.00649021161144953,0.0018994855559952512,0.3790382177286715,2.2034362251791446e-05,4.105256107101785e+35,0
Q24269,0.010162392730502848,0.0002374356944994064,0.3754353033234991,1.5976671145007186e-08,2.224442980920641e+35,0
Q9VA18,0.006922282508087671,0.0004748713889988128,0.3757117907051237,1.338849859061349e-05,2.3545993770883443e+35,0
Q9VCZ7,0.015432359223107942,0.002849228333992877,0.3804042485254692,6.233168768154518e-05,6.063300482238853e+35,0
Q9VN27,0.006647804739114607,0.000633161851998417,0.37646265979858795,1.1801529003356198e-05,2.6885919650388192e+35,0
Q7K187,0.010235538648083171,0.0010288880094974277,0.3789209156466214,4.486691980153356e-05,3.1862093182500343e+35,0
Q9W512,0.010650091173398563,0.004511278195488721,0.3855064874307886,0.001977499722655657,4.728024927622615e+35,0
O97477,0.03478016531235742,0.00854768500197863,0.3922873108832909,0.00016652449585215592,6.946113787396756e+36,0
Q7KMS3,0.0013437379253351958,0.0038781163434903044,0.3814946735407159,0.00030779381036003846,5.9517784295896485e+35,0
