locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
FBgn0030108,,1,347,NE,Nonessential
FBgn0030109,,1,347,NE,Nonessential
FBgn0030114,,1,347,NE,Nonessential
FBgn0030120,,1,347,NE,Nonessential
FBgn0030121,,1,347,NE,Nonessential
FBgn0030122,,1,347,NE,Nonessential
FBgn0030136,,1,347,NE,Nonessential
FBgn0030137,,1,347,NE,Nonessential
FBgn0030141,,1,347,NE,Nonessential
FBgn0030142,,1,347,NE,Nonessential
FBgn0030144,,1,347,NE,Nonessential
FBgn0030145,,1,347,NE,Nonessential
FBgn0030148,,1,347,NE,Nonessential
FBgn0030151,,1,347,NE,Nonessential
FBgn0030156,,1,347,NE,Nonessential
FBgn0030157,,1,347,NE,Nonessential
FBgn0030158,,1,347,NE,Nonessential
FBgn0030159,,1,347,NE,Nonessential
FBgn0030160,,1,347,NE,Nonessential
FBgn0030161,,1,347,NE,Nonessential
FBgn0030162,,1,347,NE,Nonessential
FBgn0030163,,1,347,NE,Nonessential
FBgn0030164,,1,347,NE,Nonessential
FBgn0030165,,1,347,NE,Nonessential
FBgn0030166,,1,347,NE,Nonessential
FBgn0030167,,1,347,NE,Nonessential
FBgn0030170,,1,347,NE,Nonessential
FBgn0030171,,1,347,NE,Nonessential
FBgn0030172,,1,347,NE,Nonessential
FBgn0030173,,1,347,NE,Nonessential
FBgn0030174,,1,347,NE,Nonessential
FBgn0030177,,1,347,NE,Nonessential
